<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
001_1_2573059168_atp9	0.006	No mitochondrial presequence	43(MPP)	-0.023	53-57	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
002_1_2573059168_atp9	0.019	No mitochondrial presequence	18(MPP)	0.056	41-45,66-70	10-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
003_1_2573059168_atp9	0.038	No mitochondrial presequence	14(MPP)	0.000	54-58,78-82	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
004_1_2573059168_atp9	0.041	No mitochondrial presequence	56(MPP)	0.071	53-57,75-79,86-90	5-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
005_1_2573059168_atp9	0.864	Possessing mitochondrial presequence	29(MPP), 30(Icp55)	0.172	8-12,43-47,96-100	8-17-high	-	-	-	-	8-13	-	1-6	11-16	-	-	-	-	-	-	
006_1_2573059168_atp9	0.003	No mitochondrial presequence	29(MPP)	0.034	79-83	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
007_1_2573059168_atp9	0.283	No mitochondrial presequence	27(MPP), 28(Icp55)	0.185	80-84	20-30-high	-	15-20	-	-	-	-	-	-	-	-	-	-	-	-	
008_1_2573059168_atp9	0.001	No mitochondrial presequence	90(MPP)	-0.033	56-60	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
009_1_2573059168_atp9	0.099	No mitochondrial presequence	24(MPP)	-0.083	6-10,58-62,85-89	2-11-high	-	-	-	-	-	25-30	-	-	-	-	-	-	-	24-29	
010_1_2573059168_atp9	0.039	No mitochondrial presequence	28(MPP)	0.036	93-97	6-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
011_1_2573059168_atp9	0.030	No mitochondrial presequence	15(MPP), 16(Icp55)	-0.067	44-48,57-61	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
012_1_2573059168_atp9	0.017	No mitochondrial presequence	15(MPP)	0.000	41-45,70-74	21-30-low	-	-	-	-	-	-	25-30	-	-	-	-	-	-	-	
013_1_2573059168_atp9	0.044	No mitochondrial presequence	6(MPP)	0.167	32-36,51-55	18-29-low	-	-	-	-	-	-	3-8	-	-	2-7	-	-	-	-	
014_1_2573059168_atp9	0.006	No mitochondrial presequence	29(MPP)	-0.069	49-53	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
015_1_2573059168_atp9	0.181	No mitochondrial presequence	14(MPP), 15(Icp55)	-0.071	11-15,51-55	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
