<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
001_1_3232445586_atp9	0.264	No mitochondrial presequence	19(MPP)	0.105	13-17,16-20,53-57	3-14-low	-	-	-	-	13-18	-	-	-	-	-	-	-	-	-	
002_1_3232445586_atp9	0.004	No mitochondrial presequence	88(MPP)	0.057	54-58	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
003_1_3232445586_atp9	0.048	No mitochondrial presequence	39(MPP)	0.051	24-28,31-35,84-88	19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
004_1_3232445586_atp9	0.040	No mitochondrial presequence	10(MPP)	0.300	1-5,18-22,82-86	17-26-high	-	-	-	-	-	-	-	-	-	-	4-9	-	-	-	
005_1_3232445586_atp9	0.013	No mitochondrial presequence	14(MPP)	-0.071	30-34,95-99	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
006_1_3232445586_atp9	0.020	No mitochondrial presequence	34(MPP)	0.029	54-58	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
007_1_3232445586_atp9	0.056	No mitochondrial presequence	64(MPP)	0.031		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
008_1_3232445586_atp9	0.042	No mitochondrial presequence	28(MPP)	0.179	7-11,11-15,46-50,52-56,63-67	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
009_1_3232445586_atp9	0.014	No mitochondrial presequence	92(MPP)	-0.033	34-38,39-43,79-83	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
010_1_3232445586_atp9	0.001	No mitochondrial presequence	44(MPP)	0.000	60-64	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
011_1_3232445586_atp9	0.027	No mitochondrial presequence	24(MPP), 25(Icp55)	-0.167	77-81	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
